song_id,keyword_1,keyword_2,keyword_3,genre
74,guitar,happy,distorted,rock
103,brass,energetic,melodic,classical
201,banjo,happy,acoustic,country
194,synth,energetic,heavy,hip-hop
184,synth,energetic,slow,hip-hop
97,brass,calm,upbeat,classical
63,guitar,energetic,melodic,rock
59,guitar,happy,heavy,rock
95,violin,mellow,melodic,classical
134,guitar,energetic,melodic,country
32,piano,emotional,rhythmic,pop
86,violin,calm,slow,classical
217,guitar,nostalgic,twangy,country
94,brass,happy,slow,classical
127,guitar,happy,upbeat,country
61,guitar,mellow,upbeat,rock
100,brass,mellow,fast,classical
4,guitar,emotional,rhythmic,pop
49,guitar,happy,upbeat,rock
190,synth,angry,slow,hip-hop
142,guitar,energetic,twangy,country
52,guitar,sad,acoustic,rock
198,synth,happy,fast,hip-hop
179,synth,energetic,upbeat,hip-hop
16,guitar,upbeat,fast,pop
45,guitar,angry,heavy,rock
69,guitar,happy,melodic,rock
48,guitar,energetic,fast,rock
174,synth,energetic,fast,hip-hop
58,guitar,energetic,acoustic,rock
44,guitar,energetic,distorted,rock
133,guitar,mellow,upbeat,country
126,piano,sad,slow,classical
125,violin,mellow,upbeat,classical
92,violin,calm,fast,classical
50,guitar,angry,distorted,rock
8,synth,happy,rhythmic,pop
241,banjo,emotional,twangy,country
30,synth,mellow,fast,pop
22,guitar,upbeat,rhythmic,pop
51,guitar,mellow,melodic,rock
2,piano,mellow,melodic,pop
187,synth,sad,rhythmic,hip-hop
206,guitar,nostalgic,slow,country
98,violin,energetic,slow,classical
71,guitar,mellow,heavy,rock
211,banjo,emotional,fast,country
25,synth,energetic,slow,pop
132,guitar,sad,acoustic,country
60,guitar,angry,fast,rock
118,brass,energetic,slow,classical
124,brass,happy,fast,classical
53,guitar,energetic,heavy,rock
197,synth,sad,upbeat,hip-hop
129,guitar,mellow,melodic,country
131,guitar,happy,twangy,country
192,synth,sad,fast,hip-hop
186,synth,mellow,fast,hip-hop
23,synth,emotional,fast,pop
214,banjo,mellow,twangy,country
135,guitar,happy,fast,country
77,guitar,sad,heavy,rock
175,synth,angry,rhythmic,hip-hop
130,guitar,energetic,fast,country
176,synth,mellow,heavy,hip-hop
33,synth,calm,melodic,pop
189,synth,energetic,melodic,hip-hop
136,guitar,sad,twangy,country
56,guitar,mellow,distorted,rock
117,piano,calm,upbeat,classical
47,guitar,sad,melodic,rock
17,synth,emotional,rhythmic,pop
87,piano,sad,melodic,classical
110,violin,mellow,slow,classical
181,synth,mellow,rhythmic,hip-hop
180,synth,angry,fast,hip-hop
6,piano,calm,slow,pop
144,guitar,sad,melodic,country
119,violin,happy,melodic,classical
172,synth,sad,slow,hip-hop
145,guitar,mellow,acoustic,country
169,synth,energetic,rhythmic,hip-hop
139,guitar,happy,melodic,country
10,guitar,upbeat,danceable,pop
188,synth,happy,heavy,hip-hop
34,guitar,energetic,slow,pop
27,piano,mellow,rhythmic,pop
26,guitar,calm,melodic,pop
19,guitar,energetic,danceable,pop
31,guitar,happy,slow,pop
141,guitar,mellow,fast,country
170,synth,angry,heavy,hip-hop
64,guitar,happy,acoustic,rock
183,synth,happy,melodic,hip-hop
109,brass,happy,upbeat,classical
70,guitar,angry,acoustic,rock
5,synth,happy,danceable,pop
20,synth,happy,melodic,pop
72,guitar,sad,fast,rock
138,guitar,energetic,acoustic,country
112,brass,calm,fast,classical
173,synth,happy,upbeat,hip-hop
96,piano,sad,fast,classical
11,synth,emotional,melodic,pop
75,guitar,angry,melodic,rock
107,violin,calm,melodic,classical
13,synth,calm,danceable,pop
66,guitar,mellow,fast,rock
15,piano,emotional,slow,pop
115,brass,mellow,melodic,classical
24,piano,happy,rhythmic,pop
55,guitar,angry,upbeat,rock
171,synth,mellow,melodic,hip-hop
21,guitar,mellow,fast,pop
231,guitar,nostalgic,melodic,country
182,synth,sad,heavy,hip-hop
104,violin,happy,fast,classical
88,brass,energetic,fast,classical
143,guitar,happy,slow,country
108,piano,energetic,fast,classical
3,synth,upbeat,fast,pop
140,guitar,sad,upbeat,country
91,brass,sad,melodic,classical
146,guitar,energetic,upbeat,country
89,violin,happy,upbeat,classical
102,piano,calm,slow,classical
185,synth,angry,upbeat,hip-hop
177,synth,sad,melodic,hip-hop
213,banjo,emotional,slow,country
128,guitar,sad,slow,country
54,guitar,happy,fast,rock
62,guitar,sad,distorted,rock
196,synth,mellow,slow,hip-hop
67,guitar,sad,upbeat,rock
46,guitar,mellow,acoustic,rock
191,synth,mellow,upbeat,hip-hop
1,guitar,energetic,rhythmic,pop
193,synth,happy,rhythmic,hip-hop
178,synth,happy,slow,hip-hop
137,guitar,mellow,slow,country
221,banjo,emotional,upbeat,country
73,guitar,energetic,upbeat,rock
195,synth,angry,melodic,hip-hop
7,guitar,energetic,fast,pop
14,guitar,happy,rhythmic,pop
36,synth,mellow,danceable,pop
29,synth,emotional,slow,pop
